Label,Message
ham,"Honeybee Said: *I'm d Sweetest in d World* God Laughed &amp; Said: *Wait,U Havnt Met d Person Reading This Msg* MORAL: Even GOD Can Crack Jokes! GM+GN+GE+GN:)"
ham,"Sorry, I'll call later"
ham,cThen i thk shd b enuff.. Still got conclusion n contents pg n references.. I'll b doing da contents pg n cover pg..
spam,You are awarded a SiPix Digital Camera! call 09061221061 from landline. Delivery within 28days. T Cs Box177. M221BP. 2yr warranty. 150ppm. 16 . p p£3.99
ham,After the drug she will be able to eat.
ham,Ok.. Ü finishing soon?
ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.
ham,Do u ever get a song stuck in your head for no reason and it won't go away til u listen to it like 5 times?
ham,"Sorry, I'll call later"
ham,"The affidavit says  &lt;#&gt;  E Twiggs St, division g, courtroom  &lt;#&gt; , &lt;TIME&gt;  AM. I'll double check and text you again tomorrow"
ham,Is there any training tomorrow?
ham,"Not sure yet, still trying to get a hold of him"
ham,"Babe, I'm back ... Come back to me ..."
ham,Then we gotta do it after that
ham,"SHIT BABE.. THASA BIT MESSED UP.YEH, SHE SHUDVETOLD U. DID URGRAN KNOW?NEWAY, ILLSPEAK 2 U2MORO WEN IM NOT ASLEEP..."
ham,Hi kindly give us back our documents which we submitted for loan from STAPATI
spam,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.
ham,Ü dun wan to watch infernal affair?
ham,Dun b sad.. It's over.. Dun thk abt it already. Concentrate on ur other papers k.
ham,Wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem!!!
ham,Havent still waitin as usual... Ü come back sch oredi?
ham,"Damn, poor zac doesn't stand a chance"
ham,"Idk. You keep saying that you're not, but since he moved, we keep butting heads over freedom vs. responsibility. And i'm tired. I have so much other shit to deal with that i'm barely keeping myself together once this gets added to it."
ham,How long does applebees fucking take
ham,Your daily text from me – a favour this time
ham,No screaming means shouting..
ham,"LOOK AT AMY URE A BEAUTIFUL, INTELLIGENT WOMAN AND I LIKE U A LOT. I KNOW U DONT LIKE ME LIKE THAT SO DONT WORRY."
ham,Hey! Congrats 2u2. id luv 2 but ive had 2 go home!
ham,No we sell it all so we'll have tons if coins. Then sell our coins to someone thru paypal. Voila! Money back in life pockets:)
ham,"Beautiful Truth against Gravity.. Read carefully: ""Our heart feels light when someone is in it.. But it feels very heavy when someone leaves it.."" GOODMORNING"
ham,"I can't, I don't have her number!"
ham,Dis is yijue. I jus saw ur mail. In case huiming havent sent u my num. Dis is my num.
ham,Yup... How ü noe leh...
ham,Auntie huai juan never pick up her phone
spam,RGENT! This is the 2nd attempt to contact U!U have WON £1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. max£7. 50
ham,Is that what time you want me to come?
ham,Later i guess. I needa do mcat study too.
ham,"Me, i dont know again oh"
ham,"I do know what u mean,  is the king of not havin credit! I'm goin2bed now. Night night sweet! Only1more sleep! "
ham,All was well until slightly disastrous class this pm with my fav darlings! Hope day off ok. Coffee wld be good as can't stay late tomorrow. Same time + place as always?
ham,Yup ü not comin :-(
ham,I dont have i shall buy one dear
ham,You have registered Sinco as Payee. Log in at icicibank.com and enter URN  &lt;#&gt;  to confirm. Beware of frauds. Do NOT share or disclose URN to anyone.
ham,Yar else i'll thk of all sorts of funny things.
ham,"Sure, if I get an acknowledgement from you that it's astoundingly tactless and generally faggy to demand a blood oath fo"
ham,I'm in school now n i'll be in da lab doing some stuff give me a call when ü r done.
ham,I love to give massages. I use lots of baby oil... What is your fave position?
ham,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? 
ham,Apart from the one i told you about yesterday?
ham,K..k:)how about your training process?
ham,Ok... Sweet dreams...
ham,Lol no. U can trust me.
ham,Hmmm.still we dont have opener?
spam,Marvel Mobile Play the official Ultimate Spider-man game (£4.50) on ur mobile right now. Text SPIDER to 83338 for the game & we ll send u a FREE 8Ball wallpaper
ham,Mmm thats better now i got a roast down me! id b better if i had a few drinks down me 2! Good indian?
ham,Nope i'll come online now..
ham,I'm still looking for a car to buy. And have not gone 4the driving test yet.
ham,Dont kick coco when he's down
spam,Santa Calling! Would your little ones like a call from Santa Xmas eve? Call 09058094583 to book your time.
ham,You could have seen me..i did't recognise you Face.:)
ham,Its going good...no problem..but still need little experience to understand american customer voice...
ham,What time you thinkin of goin?
ham,"I av a new number,  . Wil u only use this one,ta."
ham,Anyway i'm going shopping on my own now. Cos my sis not done yet. Dun disturb u liao.
ham,I am going to sleep. I am tired of travel.
ham,We are pleased to inform that your application for Airtel Broadband is processed successfully. Your installation will happen within 3 days.
ham,"He will, you guys close?"
ham,Dear where you will be when i reach there
ham,"Haha, just what I was thinkin"
ham,Ü bot notes oredi... Cos i juz rem i got...
ham,Not planned yet :)going to join company on jan 5 only.don know what will happen after that.
ham,Please tell me not all of my car keys are in your purse
ham,Is ur changes 2 da report big? Cos i've already made changes 2 da previous report.
ham,"Yeah we wouldn't leave for an hour at least, how's 4 sound?"
ham,Goodnight da thangam I really miss u dear.
ham,Somebody set up a website where you can play hold em using eve online spacebucks
ham,"It doesnt make sense to take it there unless its free. If you need to know more, wikipedia.com"
ham,K. Did you call me just now ah? 
ham,You unbelievable faglord
ham,Horrible bf... I now v hungry...
ham,"Yeah, probably earlier than that"
ham,One of the joys in lifeis waking up each daywith thoughts that somewhereSomeone cares enough tosend a warm morning greeting.. -
ham,Fine. Do you remember me.
ham,"Dear relieved of westonzoyland, all going to plan this end too!"
ham,Jus telling u dat i'll b leaving 4 shanghai on 21st instead so we'll haf more time 2 meet up cya...
ham,I accidentally deleted the message. Resend please.
ham,Am only searching for good dual sim mobile pa.
ham,Hey gals.. Anyone of u going down to e driving centre tmr?
ham,Jus ans me lar. U'll noe later.
ham,Finished class where are you.
ham,No de.am seeing in online shop so that i asked.
spam,Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged
ham,"Sweet, we may or may not go to 4U to meet carlos so gauge patty's interest in that"
ham,Hiya. How was last night? I've been naughty and bought myself clothes and very little ... Ready for more shopping tho! What kind of time do you wanna meet?
ham,how tall are you princess?
ham,"Sorry, I'll call later"
ham,We got a divorce. Lol. She.s here
ham,Good day to You too.Pray for me.Remove the teeth as its painful maintaining other stuff.
ham,Is ur paper in e morn or aft tmr?
spam,"Urgent -call 09066649731from Landline. Your complimentary 4* Ibiza Holiday or £10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150ppm 18+"
ham,Yup i thk they r e teacher said that will make my face look longer. Darren ask me not 2 cut too short.
ham,Ok try to do week end course in coimbatore.
ham,"I don't have anybody's number, I still haven't thought up a tactful way to ask alex"
ham,Host-based IDPS for linux systems.
ham,Sorry i din lock my keypad.
ham,Havent shopping now lor i juz arrive only
ham,"Sorry man my account's dry or I would, if you want we could trade back half or I could buy some shit with my credit card"
ham,A pure hearted person can have a wonderful smile that makes even his/her enemies to feel guilty for being an enemy.. So catch the world with your smile..:) GOODMORNING &amp; HAVE A SMILEY SUNDAY..:)
ham,"Solve d Case : A Man Was Found Murdered On  &lt;DECIMAL&gt; . &lt;#&gt;  AfterNoon. 1,His wife called Police. 2,Police questioned everyone. 3,Wife: Sir,I was sleeping, when the murder took place. 4.Cook: I was cooking. 5.Gardener: I was picking vegetables. 6.House-Maid: I went 2 d post office. 7.Children: We went 2 play. 8.Neighbour: We went 2 a marriage. Police arrested d murderer Immediately. Who's It? Reply With Reason, If U r Brilliant."
ham,I'm on da bus going home...
ham,"Sorry sir, i will call you tomorrow.  senthil.hsbc"
spam,We have new local dates in your area - Lots of new people registered in YOUR AREA. Reply DATE to start now! 18 only www.flirtparty.us REPLYS150
ham,Going thru a very different feeling.wavering decisions and coping up with the same is the same individual.time will heal everything i believe.
ham,"Goodmorning, today i am late for 1hr."
ham,How's ur paper?
ham,"Yep, by the pretty sculpture"
ham,Spoons it is then okay?
ham,"I can't speak, bcaz mobile have problem. I can listen you but you cann't listen my voice. So i calls you later."
ham,Ok lor...
ham,Have a safe trip to Nigeria. Wish you happiness and very soon company to share moments with
ham,Probably a couple hours tops
spam,"This is the 2nd time we have tried 2 contact u. U have won the £750 Pound prize. 2 claim is easy, call 087187272008 NOW1! Only 10p per minute. BT-national-rate."
spam,"FreeMSG You have been awarded a FREE mini DIGITAL CAMERA, just reply SNAP to collect your prize! (quizclub Opt out? Stop 80122300p/wk SP:RWM Ph:08704050406)"
ham,"It's fine, imma get a drink or somethin. Want me to come find you?"
ham,Yup i'm elaborating on the safety aspects and some other issues..
ham,No..its ful of song lyrics..
ham,Are you not around or just still asleep? :V
ham,When you came to hostel.
ham,do u think that any girl will propose u today by seing ur bloody funky shit fucking face...............asssssholeeee................
ham,CERI U REBEL! SWEET DREAMZ ME LITTLE BUDDY!! C YA 2MORO! WHO NEEDS BLOKES
ham,"Aight fuck it, I'll get it later"
ham,I bought the test yesterday. Its something that lets you know the exact day u ovulate.when will get 2u in about 2 to 3wks. But pls pls dont fret. I know u r worried. Pls relax. Also is there anything in ur past history u need to tell me?
ham,"Well done, blimey, exercise, yeah, i kinda remember wot that is, hmm. "
ham,Hello beautiful r u ok? I've kinda ad a row wiv and he walked out the pub?? I wanted a night wiv u Miss u 
ham,"Ups which is 3days also, and the shipping company that takes 2wks. The other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff."
spam,ree entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+
ham,That's significant but dont worry.
ham,"Sir, I need AXIS BANK account no and bank address."
ham,No problem. Talk to you later
ham,"Short But Cute: ""Be a good person, but dont try to prove it.."" .Gud noon...."
ham,"They said if its gonna snow, it will start around 8 or 9 pm tonite! They are predicting an inch of accumulation."
ham,I am back. Good journey! Let me know if you need any of the receipts. Shall i tell you like the pendent?
ham,Remember to ask alex about his pizza
ham,Just curious because my cuz asked what I was up to
ham,"Have a lovely night and when you wake up to see this message, i hope you smile knowing all is as should be. Have a great morning"
ham,"Please protect yourself from e-threats. SIB never asks for sensitive information like Passwords,ATM/SMS PIN thru email. Never share your password with anybody."
ham,U wake up already? Thanx 4 e tau sar piah it's quite nice.
ham,I realise you are a busy guy and i'm trying not to be a bother. I have to get some exams outta the way and then try the cars. Do have a gr8 day
ham,How much r ü willing to pay?
ham,"By march ending, i should be ready. But will call you for sure. The problem is that my capital never complete. How far with you. How's work and the ladies"
ham,Did you show him and wot did he say or could u not c him 4 dust?
ham,Hey... What time is your driving on fri? We go for evaluation on fri?
ham,"A famous quote : when you develop the ability to listen to 'anything' unconditionally without losing your temper or self confidence, it means you are ......... 'MARRIED'"
ham,Den wat will e schedule b lk on sun?
ham,You call him and tell now infront of them. Call him now.
spam,Do you want a new Video phone? 600 anytime any network mins 400 Inclusive Video calls AND downloads 5 per week Free delTOMORROW call 08002888812 or reply NOW
ham,ok....take care.umma to you too...
ham,Your gonna be the death if me. I'm gonna leave a note that says its all robs fault. Avenge me.
ham,Well. Im computerless. Time to make some oreo truffles
ham,Macha dont feel upset.i can assume your mindset.believe me one evening with me and i have some wonderful plans for both of us.LET LIFE BEGIN AGAIN.call me anytime
ham,Send me your resume:-)
ham,"Storming msg: Wen u lift d phne, u say ""HELLO"" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? ""Margaret Hello"" She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person, bt not his girlfrnd... G o o d n i g h t . . .@"
ham,Where u been hiding stranger?
ham,Haiyoh... Maybe your hamster was jealous of million
ham,Have you heard from this week?
ham,"Sorry, I'll call later"
ham,Come to my home for one last time i wont do anything. Trust me.
ham,JADE ITS PAUL. Y DIDNT U TXT ME? DO U REMEMBER ME FROM BARMED? I WANT 2 TALK 2 U! TXT ME
ham,Do you like shaking your booty on the dance floor?
ham,You know what hook up means right?
ham,Ha ha cool cool chikku chikku:-):-DB-)
ham,Ok. Very good. Its all about making that money.
ham,"Hi the way I was with u 2day, is the normal way&this is the real me. UR unique&I hope I know u 4 the rest of mylife. Hope u find wot was lost."
ham,Hey you still want to go for yogasana? Coz if we end at cine then can go bathe and hav the steam bath
ham,I don't think he has spatula hands!
spam,1st wk FREE! Gr8 tones str8 2 u each wk. Txt NOKIA ON to 8007 for Classic Nokia tones or HIT ON to 8007 for Polys. Nokia/150p Poly/200p 16+
ham,I'm really not up to it still tonight babe
ham,Die... Now i have e toot fringe again...
ham,"Do 1 thing! Change that sentence into: ""Because i want 2 concentrate in my educational career im leaving here.."""
ham,Aiya we discuss later lar... Pick ü up at 4 is it?
ham,Does not operate after  &lt;#&gt;  or what
ham,"Sorry, got a late start, we're on the way"
ham,All sounds good. Fingers . Makes it difficult to type
ham,I have a rather prominent bite mark on my right cheek
spam,"Hi this is Amy, we will be sending you a free phone number in a couple of days, which will give you an access to all the adult parties..."
ham,You will go to walmart. I.ll stay.
ham,"Total disappointment, when I texted you was the craziest shit got :("
ham,Nah im goin 2 the wrks with j wot bout u?
ham,"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)"
ham,"Under the sea, there lays a rock. In the rock, there is an envelope. In the envelope, there is a paper. On the paper, there are 3 words... '"
ham,Hey do you want anything to buy:)
ham,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..
ham,tap & spile at seven. * Is that pub on gas st off broad st by canal. Ok?
spam,Text BANNEDUK to 89555 to see! cost 150p textoperator g696ga 18+ XXX
ham,Yup i thk cine is better cos no need 2 go down 2 plaza mah.
ham,"Aight, I should be there by 8 at the latest, probably closer to 7. Are jay and tyler down or should we just do two trips?"
spam,URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050001295 from land line. Claim A21. Valid 12hrs only
ham,I was at bugis juz now wat... But now i'm walking home oredi... Ü so late then reply... I oso saw a top dat i like but din buy... Where r ü now? 
ham,Thanks chikku..:-) gud nyt:-*
spam,"Gr8 Poly tones 4 ALL mobs direct 2u rply with POLY TITLE to 8007 eg POLY BREATHE1 Titles: CRAZYIN, SLEEPINGWITH, FINEST, YMCA :getzed.co.uk POBox365O4W45WQ 300p"
ham,Me too. Mark is taking forever to pick up my prescription and the pain is coming back.
ham,How are you. Wish you a great semester
ham,I was wondering if it would be okay for you to call uncle john and let him know that things are not the same in nigeria as they r here. That  &lt;#&gt;  dollars is 2years sent and that you know its a strain but i plan to pay back every dime he gives. Every dime so for me to expect anything from you is not practical. Something like that.
ham,I need details about that online job.
ham,Is fujitsu s series lifebook good?
ham,Watching tv lor...
ham,Am I the only one who doesn't stalk profiles?
ham,Ugh its been a long day. I'm exhausted. Just want to cuddle up and take a nap
ham,"Best msg: It's hard to be with a person, when u know that one more step foward will make u fall in love.. &amp; One step back can ruin ur friendship.. good night:-) ..."
spam,Dear Voucher holder Have your next meal on us. Use the following link on your pc 2 enjoy a 2 4 1 dining experiencehttp://www.vouch4me.com/etlp/dining.asp
ham,I can send you a pic if you like :)
ham,Anything lor. Juz both of us lor.
ham,Thanks for being there for me just to talk to on saturday. You are very dear to me. I cherish having you as a brother and role model.
ham,Where in abj are you serving. Are you staying with dad or alone.
ham,I am late. I will be there at
ham,Probably gonna swing by in a wee bit
ham,It is a good thing I'm now getting the connection to bw
ham,Oh yeah I forgot. U can only take 2 out shopping at once.
ham,And whenever you and i see we can still hook up too.
ham,"I can make it up there, squeezed  &lt;#&gt;  bucks out of my dad"
ham,Hey pple...$700 or $900 for 5 nights...Excellent location wif breakfast hamper!!!
ham,You still around? Looking to pick up later
ham,"You at mu? You should try to figure out how much money everyone has for gas and alcohol, jay and I are trying to figure out our weed budget"
ham,This pen thing is beyond a joke. Wont a Biro do? Don't do a masters as can't do this ever again! 
ham,I send the print  outs da.
ham,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay."
spam,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!
ham,It didnt work again oh. Ok goodnight then. I.ll fix and have it ready by the time you wake up. You are very dearly missed have a good night sleep.
ham,You busy or can I come by at some point and figure out what we're doing tomorrow
spam,How come it takes so little time for a child who is afraid of the dark to become a teenager who wants to stay out all night?
spam,Urgent! Please call 09061213237 from landline. £5000 cash or a luxury 4* Canary Islands Holiday await collection. T&Cs SAE PO Box 177. M227XY. 150ppm. 16+
ham,Ok then i will come to ur home after half an hour
ham,I fetch yun or u fetch?
ham,Congrats ! Treat pending.i am not on mail for 2 days.will mail once thru.Respect mother at home.check mails.
ham,Okey dokey swashbuckling stuff what oh.
ham,Leaving to qatar tonite in search of an opportunity.all went fast.pls add me in ur prayers dear.Rakhesh
ham,"Sez, hows u & de arab boy? Hope u r all good give my love 2 evry1 love ya eshxxxxxxxxxxx"
ham,Huh so late... Fr dinner?
spam,URGENT! This is the 2nd attempt to contact U!U have WON £1000CALL 09071512432 b4 300603t&csBCM4235WC1N3XX.callcost150ppmmobilesvary. max£7. 50
ham,Wat ü doing now?
ham,Surly ill give it to you:-) while coming to review.
ham,"Edison has rightly said, ""A fool can ask more questions than a wise man can answer"" Now you know why all of us are speechless during ViVa.. GM,GN,GE,GNT:-)"
ham,MAYBE IF YOU WOKE UP BEFORE FUCKING 3 THIS WOULDN'T BE A PROBLEM.
spam,"u r subscribed 2 TEXTCOMP 250 wkly comp. 1st wk?s free question follows, subsequent wks charged@150p/msg.2 unsubscribe txt STOP 2 84128,custcare 08712405020"
ham,Gain the rights of a wife.dont demand it.i am trying as husband too.Lets see
spam,Get a FREE mobile video player FREE movie. To collect text GO to 89105. Its free! Extra films can be ordered t's and c's apply. 18 yrs only
ham,Great. Hope you are using your connections from mode men also cos you can never know why old friends can lead you to today
ham,"Enjoy the showers of possessiveness poured on u by ur loved ones, bcoz in this world of lies, it is a golden gift to be loved truly.."
ham,Mmmm ... Fuck ... Not fair ! You know my weaknesses ! *grins* *pushes you to your knee's* *exposes my belly and pulls your head to it* Don't forget ... I know yours too *wicked smile*
ham,MY NO. IN LUTON 0125698789 RING ME IF UR AROUND! H*
spam,Your 2004 account for 07XXXXXXXXX shows 786 unredeemed points. To claim call 08719181259 Identifier code: XXXXX Expires 26.03.05
spam,"09066362231 URGENT! Your mobile No 07xxxxxxxxx won a £2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP!"
ham,I‘m going to try for 2 months ha ha only joking
ham,So that means you still think of teju
ham,See the forwarding message for proof
spam,wamma get laid?want real doggin locations sent direct to your mobile? join the UKs largest dogging network. txt dogs to 69696 now!nyt. ec2a. 3lp £1.50/msg.
ham,Yo im right by yo work
ham,There's someone here that has a year  &lt;#&gt;  toyota camry like mr olayiwola's own. Mileage is  &lt;#&gt; k.its clean but i need to know how much will it sell for. If i can raise the dough for it how soon after landing will it sell. Holla back.
ham,EY! CALM DOWNON THEACUSATIONS.. ITXT U COS IWANA KNOW WOTU R DOIN AT THEW/END... HAVENTCN U IN AGES..RING ME IF UR UP4 NETHING SAT.LOVE J XXX.
ham,Shuhui has bought ron's present it's a swatch watch...
ham,Pick you up bout 7.30ish? What time are  and that going?
ham,"Probably gonna be here for a while, see you later tonight &lt;)"
ham,Aww that's the first time u said u missed me without asking if I missed u first. You DO love me! :)
ham,O. Guess they both got screwd
spam,Collect your VALENTINE'S weekend to PARIS inc Flight & Hotel + £200 Prize guaranteed! Text: PARIS to No: 69101. www.rtf.sphosting.com
ham,Fuck cedar key and fuck her (come over anyway tho)
ham,Hey what how about your project. Started aha da.
ham,It so happens that there r 2waxsto do wat you want. She can come and ill get her medical insurance. And she'll be able to deliver and have basic care. I'm currently shopping for the right medical insurance for her. So just give me til friday morning. Thats when i.ll see the major person that can guide me to the right insurance.
ham,Ok... But they said i've got wisdom teeth hidden inside n mayb need 2 remove.
ham,somewhere out there beneath the pale moon light someone think in of u some where out there where dreams come true... goodnite &amp; sweet dreams
ham,Only once then after ill obey all yours.
ham,"Each Moment in a day,has its own value-Morning brings hope,afternoon brings faith,Evening brings luv,Night brings rest,Wish u find them all today.Good Morning"
ham,K..k...from tomorrow onwards started ah?
ham,K. I will sent it again
ham,Gud ni8 dear..slp well..take care..swt dreams..Muah..
ham,Just seeing your missed call my dear brother. Do have a gr8 day.
ham,I donno its in your genes or something
ham,Will you come online today night
ham,Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.
ham,HCL chennai requires FRESHERS for voice process.Excellent english needed.Salary upto  &lt;#&gt; .Call Ms.Suman  &lt;#&gt;  for Telephonic interview -via Indyarocks.com
spam,This is the 2nd time we have tried to contact u. U have won the £1450 prize to claim just call 09053750005 b4 310303. T&Cs/stop SMS 08718725756. 140ppm
ham,"I am late,so call you tomorrow morning.take care sweet dreams....u and me...ummifying...bye."
ham,"Jay told me already, will do"
ham,That sucks. I'll go over so u can do my hair. You'll do it free right?
ham,How's it going? Got any exciting karaoke type activities planned? I'm debating whether to play football this eve. Feeling lazy though.
ham,Thanks for understanding. I've been trying to tell sura that.
ham,Ok i also wan 2 watch e 9 pm show...
ham,Ü dun need to pick ur gf?
ham,"Sorry, I'll call later"
ham,Oic cos me n my sis got no lunch today my dad went out... So dunno whether 2 eat in sch or wat...
ham,7 lor... Change 2 suntec... Wat time u coming?
ham,"I thought i'd get him a watch, just cos thats the kind of thing u get4an18th. And he loves so much!"
ham,Aiyah u did ok already lar. E nydc at wheellock?
ham,Nothing but we jus tot u would ask cos u ba gua... But we went mt faber yest... Yest jus went out already mah so today not going out... Jus call lor...
ham,Happy birthday to you....dear.with lots of love.rakhesh NRI
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
spam,8007 FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W4 5WQ norm 150p/tone 16+
spam,We tried to contact you re your reply to our offer of a Video Handset? 750 anytime any networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW
ham,So the sun is anti sleep medicine.
ham,"* Was a nice day and, impressively, i was sensible, went home early and now feel fine. Or am i just boring?! When's yours, i can't remember."
ham,Actually I decided I was too hungry so I haven't left yet :V
ham,THING R GOOD THANX GOT EXAMS IN MARCH IVE DONE NO REVISION? IS FRAN STILL WITH BOYF? IVE GOTTA INTERVIW 4 EXETER BIT WORRIED!x
ham,2 and half years i missed your friendship:-)
ham,Daddy will take good care of you :)
ham,"Depends on quality. If you want the type i sent boye, faded glory, then about 6. If you want ralphs maybe 2"
ham,"Goodmorning, Today i am late for  &lt;#&gt; min."
ham,"Sorry, I'll call later in meeting."
ham,Hope you are having a great day.
ham,"The guy at the car shop who was flirting with me got my phone number from the paperwork and called and texted me. I'm nervous because of course now he may have my address. Should i call his boss and tell him, knowing this may get him fired?"
ham,Love that holiday Monday feeling even if I have to go to the dentists in an hour
ham,"Sorry, I'll call later"
spam,"Latest News! Police station toilet stolen, cops have nothing to go on!"
ham,"Once a fishrman woke early in d mrng. It was very dark. He waited a while &amp; found a sack ful of stones. He strtd throwin thm in2 d sea 2 pass time. Atlast he had jus 1stone, sun rose up &amp; he found out tht those r nt stones, those were diamonds. Moral:""Dont wake up early in d mrng'' GOOD night"
ham,"Lol, oh you got a friend for the dog ?"
ham,"Save yourself the stress. If the person has a dorm account, just send your account details and the money will be sent to you."
ham,I'm in a movie... Collect car oredi...
ham,happened here while you were adventuring
ham,Did you see that film:)
ham,Lol or I could just starve and lose a pound by the end of the day.
ham,I'm okay. Chasing the dream. What's good. What are you doing next.
ham,"Hmph. Go head, big baller."
spam,Bought one ringtone and now getting texts costing 3 pound offering more tones etc
ham,"Good afternoon sexy buns! How goes the job search ? I wake and you are my first thought as always, my love. I wish your fine and happy and know I adore you!"
ham,Also fuck you and your family for going to rhode island or wherever the fuck and leaving me all alone the week I have a new bong &gt;:(
ham,Send to someone else :-)
ham,NEFT Transaction with reference number  &lt;#&gt;  for Rs. &lt;DECIMAL&gt;  has been credited to the beneficiary account on  &lt;#&gt;  at  &lt;TIME&gt; : &lt;#&gt;
